Res_prop	P	Cell_range	Effect	Method	PANEL	COORD	group	AUROC
Prop_0.10	50	Medium	0.001	MIMOSA2	1	1	-1	0.942428451178453
Prop_0.10	50	Low	6.25e-05	DiD Baseline	1	1	-1	0.746376262626263
Prop_0.10	50	Low	6.25e-05	MIMOSA2	1	1	-1	0.780740740740738
Prop_0.10	50	Low	0.000125	DiD Baseline	1	1	-1	0.731647727272727
Prop_0.10	50	Low	0.000125	MIMOSA2	1	1	-1	0.770326178451183
Prop_0.10	50	Low	0.00025	DiD Baseline	1	1	-1	0.803411195286195
Prop_0.10	50	Low	0.00025	MIMOSA2	1	1	-1	0.836967592592591
Prop_0.10	50	Low	5e-04	DiD Baseline	1	1	-1	0.792615740740741
Prop_0.10	50	Low	5e-04	MIMOSA2	1	1	-1	0.808026094276093
Prop_0.10	50	Low	0.001	DiD Baseline	1	1	-1	0.875551346801347
Prop_0.10	50	Low	0.001	MIMOSA2	1	1	-1	0.911060606060612
Prop_0.10	75	High	6.25e-05	DiD Baseline	1	1	-1	0.86981139520202
Prop_0.10	75	High	6.25e-05	MIMOSA2	1	1	-1	0.911601957070706
Prop_0.10	75	High	0.000125	DiD Baseline	1	1	-1	0.871290246212122
Prop_0.10	75	High	0.000125	MIMOSA2	1	1	-1	0.918437500000002
Prop_0.10	75	High	0.00025	DiD Baseline	1	1	-1	0.878762626262625
Prop_0.10	75	High	0.00025	MIMOSA2	1	1	-1	0.919002525252526
Prop_0.10	75	High	5e-04	DiD Baseline	1	1	-1	0.903488005050505
Prop_0.10	75	High	5e-04	MIMOSA2	1	1	-1	0.94924321338384
Prop_0.10	75	High	0.001	DiD Baseline	1	1	-1	0.901494633838384
Prop_0.10	75	High	0.001	MIMOSA2	1	1	-1	0.927618371212123
Prop_0.10	75	Medium	6.25e-05	DiD Baseline	1	1	-1	0.832695707070707
Prop_0.10	75	Medium	6.25e-05	MIMOSA2	1	1	-1	0.854606218434343
Prop_0.10	75	Medium	0.000125	DiD Baseline	1	1	-1	0.852685448232323
Prop_0.10	75	Medium	0.000125	MIMOSA2	1	1	-1	0.887920612373737
Prop_0.10	75	Medium	0.00025	DiD Baseline	1	1	-1	0.842030460858586
