Simulation 239 | MIMOSA2 elapsed = 18.27 sec | status = SUCCESS
Simulation 241 | MIMOSA2 elapsed = 7.09 sec | status = SUCCESS
Simulation 244 | MIMOSA2 elapsed = 7.88 sec | status = SUCCESS
Simulation 251 | MIMOSA2 elapsed = 8.81 sec | status = SUCCESS
Simulation 243 | MIMOSA2 elapsed = 9.1 sec | status = SUCCESS
Simulation 249 | MIMOSA2 elapsed = 9.71 sec | status = SUCCESS
Simulation 253 | MIMOSA2 elapsed = 9.99 sec | status = SUCCESS
Simulation 245 | MIMOSA2 elapsed = 10.68 sec | status = SUCCESS
Simulation 242 | MIMOSA2 elapsed = 11.47 sec | status = SUCCESS
Simulation 250 | MIMOSA2 elapsed = 12.68 sec | status = SUCCESS
Simulation 248 | MIMOSA2 elapsed = 15.83 sec | status = SUCCESS
Simulation 257 | MIMOSA2 elapsed = 16.11 sec | status = SUCCESS
Simulation 254 | MIMOSA2 elapsed = 16.07 sec | status = SUCCESS
Simulation 247 | MIMOSA2 elapsed = 16.17 sec | status = SUCCESS
Simulation 260 | MIMOSA2 elapsed = 16.17 sec | status = SUCCESS
Simulation 252 | MIMOSA2 elapsed = 16.37 sec | status = SUCCESS
Simulation 259 | MIMOSA2 elapsed = 16.5 sec | status = SUCCESS
Simulation 256 | MIMOSA2 elapsed = 16.57 sec | status = SUCCESS
Simulation 255 | MIMOSA2 elapsed = 16.71 sec | status = SUCCESS
Simulation 258 | MIMOSA2 elapsed = 16.93 sec | status = SUCCESS
Simulation 246 | MIMOSA2 elapsed = 17.01 sec | status = SUCCESS
Simulation 265 | MIMOSA2 elapsed = 8.32 sec | status = SUCCESS
Simulation 264 | MIMOSA2 elapsed = 9.55 sec | status = SUCCESS
Simulation 261 | MIMOSA2 elapsed = 11.89 sec | status = SUCCESS
Simulation 262 | MIMOSA2 elapsed = 13.79 sec | status = SUCCESS
Simulation 269 | MIMOSA2 elapsed = 11.07 sec | status = SUCCESS
Simulation 268 | MIMOSA2 elapsed = 13.11 sec | status = SUCCESS
Simulation 263 | MIMOSA2 elapsed = 16.57 sec | status = SUCCESS
Simulation 266 | MIMOSA2 elapsed = 15.58 sec | status = SUCCESS
Simulation 267 | MIMOSA2 elapsed = 15.6 sec | status = SUCCESS
Simulation 272 | MIMOSA2 elapsed = 14.99 sec | status = SUCCESS
Simulation 279 | MIMOSA2 elapsed = 14.88 sec | status = SUCCESS
Simulation 270 | MIMOSA2 elapsed = 16.02 sec | status = SUCCESS
Simulation 271 | MIMOSA2 elapsed = 16.33 sec | status = SUCCESS
Simulation 273 | MIMOSA2 elapsed = 16.17 sec | status = SUCCESS
Simulation 276 | MIMOSA2 elapsed = 16.3 sec | status = SUCCESS
Simulation 278 | MIMOSA2 elapsed = 16.06 sec | status = SUCCESS
Simulation 274 | MIMOSA2 elapsed = 16.7 sec | status = SUCCESS
Simulation 277 | MIMOSA2 elapsed = 16.38 sec | status = SUCCESS
Simulation 275 | MIMOSA2 elapsed = 16.49 sec | status = SUCCESS
Simulation 283 | MIMOSA2 elapsed = 14.01 sec | status = SUCCESS
Simulation 280 | MIMOSA2 elapsed = 16.82 sec | status = SUCCESS
Simulation 281 | MIMOSA2 elapsed = 15.88 sec | status = SUCCESS
Simulation 282 | MIMOSA2 elapsed = 16.12 sec | status = SUCCESS
Simulation 284 | MIMOSA2 elapsed = 16.34 sec | status = SUCCESS
Simulation 285 | MIMOSA2 elapsed = 15.1 sec | status = SUCCESS
Simulation 286 | MIMOSA2 elapsed = 17.96 sec | status = SUCCESS
Simulation 287 | MIMOSA2 elapsed = 17.26 sec | status = SUCCESS
Simulation 288 | MIMOSA2 elapsed = 17.02 sec | status = SUCCESS
Simulation 289 | MIMOSA2 elapsed = 17.11 sec | status = SUCCESS
Simulation 294 | MIMOSA2 elapsed = 14.07 sec | status = SUCCESS
Simulation 302 | MIMOSA2 elapsed = 13.43 sec | status = SUCCESS
Simulation 290 | MIMOSA2 elapsed = 17.07 sec | status = SUCCESS
Simulation 291 | MIMOSA2 elapsed = 16.76 sec | status = SUCCESS
Simulation 292 | MIMOSA2 elapsed = 16.55 sec | status = SUCCESS
Simulation 301 | MIMOSA2 elapsed = 15.09 sec | status = SUCCESS
Simulation 293 | MIMOSA2 elapsed = 17.19 sec | status = SUCCESS
Simulation 296 | MIMOSA2 elapsed = 17.03 sec | status = SUCCESS
